Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
270.0	 Peticiones	 218.35551088062562	 0.9	 196.51995979256307	 218.35551088062562	 1.0684866630251627E-5	 0.002327669745987469	 218.35551088062562	 0.1255786442748604	 11.404617805201415	 218.35551088062562	 0.21092629123874432	 0.9967707934943425
275.0	 Peticiones	 218.51309074725015	 0.9	 196.66178167252514	 218.51309074725015	 1.068488560522958E-5	 0.0023293495473656863	 218.51309074725015	 0.12793896488543818	 11.412848136304119	 218.51309074725015	 0.23055618646778925	 0.9974901296267835
280.0	 Peticiones	 218.63430464570013	 0.9	 196.77087418113013	 218.63430464570013	 1.0684900184953288E-5	 0.0023306416875231635	 218.63430464570013	 0.12999756367777865	 11.419179087966045	 218.63430464570013	 0.2506690927648957	 0.9980434587974248
285.0	 Peticiones	 218.7280136576688	 0.9	 196.85521229190192	 218.7280136576688	 1.0684911445929431E-5	 0.0023316406255907496	 218.7280136576688	 0.13177974887008137	 11.424073470810313	 218.7280136576688	 0.2711976710985975	 0.9984712309468012
290.0	 Peticiones	 218.8007546788189	 0.9	 196.920679210937	 218.8007546788189	 1.0684920180698136E-5	 0.0023324160448762094	 218.8007546788189	 0.13331276368423145	 11.427872704187255	 218.8007546788189	 0.2920833143918836	 0.9988032863415973
295.0	 Peticiones	 218.8574022485775	 0.9	 196.97166202371974	 218.8574022485775	 1.068492697897301E-5	 0.002333019907969836	 218.8574022485775	 0.1346240277610335	 11.43083138327021	 218.8574022485775	 0.3132749169115382	 0.999061876760635
300.0	 Peticiones	 218.90162910369364	 0.9	 197.01146619332428	 218.90162910369364	 1.068493228419921E-5	 0.002333491366245374	 218.90162910369364	 0.13574000478148826	 11.433141333576899	 218.90162910369364	 0.3347279185467904	 0.9992637678752219
305.0	 Peticiones	 218.93622738638612	 0.9	 197.0426046477475	 218.93622738638612	 1.0684936432938452E-5	 0.002333860183938876	 218.93622738638612	 0.13668551164312304	 11.434948387537812	 218.93622738638612	 0.35640353680410913	 0.9994217055318161
310.0	 Peticiones	 218.96333550031332	 0.9	 197.067001950282	 218.96333550031332	 1.0684939682602922E-5	 0.00233414915643334	 218.96333550031332	 0.13748333435206064	 11.436364233089467	 218.96333550031332	 0.37826811865557713	 0.9995454513265541
315.0	 Peticiones	 218.984600922908	 0.9	 197.08614083061718	 218.984600922908	 1.0684942231294582E-5	 0.002334375845838199	 218.984600922908	 0.13815405508196912	 11.437474917295145	 218.984600922908	 0.4002925700900096	 0.9996425258270702
320.0	 Peticiones	 219.0012989226269	 0.9	 197.1011690303642	 219.0012989226269	 1.0684944232227092E-5	 0.0023345538465152026	 219.0012989226269	 0.13871602267110092	 11.438347046897633	 219.0012989226269	 0.42245184052220974	 0.9997187505047184
325.0	 Peticiones	 219.0144203561106	 0.9	 197.11297832049954	 219.0144203561106	 1.0684945804363191E-5	 0.0023346937209961388	 219.0144203561106	 0.13918541810335533	 11.439032373928468	 219.0144203561106	 0.4447244510018481	 0.9997786485197151
330.0	 Peticiones	 219.0247373835891	 0.9	 197.1222636452302	 219.0247373835891	 1.068494704035891E-5	 0.0023348037005090595	 219.0247373835891	 0.1395763800772418	 11.439571227996328	 219.0247373835891	 0.4670920614620301	 0.9998257447053107
335.0	 Peticiones	 219.0328531499205	 0.9	 197.12956783492845	 219.0328531499205	 1.0684948012558342E-5	 0.0023348902145781526	 219.0328531499205	 0.1399011655477957	 11.439995111107098	 219.0328531499205	 0.48953907516374995	 0.9998627923566996
340.0	 Peticiones	 219.0392396525271	 0.9	 197.13531568727439	 219.0392396525271	 1.0684948777556111E-5	 0.002334958294695939	 219.0392396525271	 0.14017032733576898	 11.440328675490461	 219.0392396525271	 0.5120522795190543	 0.9998919460943139
345.0	 Peticiones	 219.04426679813392	 0.9	 197.13984011832054	 219.04426679813392	 1.0684949379693936E-5	 0.0023350118840681075	 219.04426679813392	 0.14039289627866056	 11.440591241221298	 219.04426679813392	 0.5346205225433858	 0.9999148945048912
350.0	 Peticiones	 219.04822481898054	 0.9	 197.1434023370825	 219.04822481898054	 1.0684949853755455E-5	 0.0023350540765703326	 219.04822481898054	 0.14057655942639574	 11.440797967009159	 219.04822481898054	 0.5572344238396733	 0.9999329624692126
355.0	 Peticiones	 219.05134164124436	 0.9	 197.14620747711993	 219.05134164124436	 1.0684950227052577E-5	 0.0023350873018956647	 219.05134164124436	 0.14072782878635376	 11.440960757343795	 219.05134164124436	 0.5798861185535433	 0.9999471904471947
360.0	 Peticiones	 219.0537963891888	 0.9	 197.14841675026992	 219.0537963891888	 1.0684950521046571E-5	 0.0023351134695087524	 219.0537963891888	 0.14085219733418872	 11.441088967811217	 219.0537963891888	 0.6025690323139975	 0.9999583961229596
365.0	 Peticiones	 219.05572991396483	 0.9	 197.15015692256836	 219.05572991396483	 1.0684950752611401E-5	 0.002335134080882865	 219.05572991396483	 0.14095428060804016	 11.441189955008648	 219.05572991396483	 0.6252776848542115	 0.9999672224677469
370.0	 Peticiones	 219.05725302077823	 0.9	 197.1515277187004	 219.05725302077823	 1.0684950935020445E-5	 0.002335150317201496	 219.05725302077823	 0.14103794333483002	 11.441269506246048	 219.05725302077823	 0.6480075198113007	 0.9999741752960994
375.0	 Peticiones	 219.05845290886967	 0.9	 197.1526076179827	 219.05845290886967	 1.068495107871865E-5	 0.0023351631080085504	 219.05845290886967	 0.1411064113099202	 11.4413321759036	 219.05845290886967	 0.6707547581248414	 0.9999796526637197
380.0	 Peticiones	 219.05939821956576	 0.9	 197.1534583976092	 219.05939821956576	 1.0684951191927642E-5	 0.0023351731850205708	 219.05939821956576	 0.1411623692541777	 11.441381549089343	 219.05939821956576	 0.6935162724726923	 0.9999839679113123
385.0	 Peticiones	 219.06014299762256	 0.9	 197.1541286978603	 219.06014299762256	 1.0684951281120458E-5	 0.0023351811243546563	 219.06014299762256	 0.14120804567569165	 11.441420448538471	 219.06014299762256	 0.7162894802764516	 0.999987367747715
390.0	 Peticiones	 219.06072980251588	 0.9	 197.1546568222643	 219.06072980251588	 1.0684951351394362E-5	 0.0023351873796948193	 219.06072980251588	 0.141245285922056	 11.441451097114765	 219.06072980251588	 0.7390722529556035	 0.9999900464526251
395.0	 Peticiones	 219.06119215377774	 0.9	 197.15507293839997	 219.06119215377774	 1.0684951406763828E-5	 0.0023351923083592707	 219.06119215377774	 0.1412756146658872	 11.441475245529485	 219.06119215377774	 0.7618628392895911	 0.9999921570393115
